earliest,latest,"src_ip","dst_ip",count
"09/08/24 03:00:00","10/07/24 00:00:00","1.16.0.0","10.2.1.33",48
"09/08/24 04:00:00","10/07/24 11:00:00","1.16.0.0","10.2.1.34",64
"09/08/24 23:00:00","10/07/24 19:00:00","1.16.0.0","10.2.1.35",48
"09/08/24 21:00:00","10/07/24 20:00:00","1.19.11.11","10.2.1.33",72
"09/08/24 05:00:00","10/07/24 05:00:00","1.19.11.11","10.2.1.34",62
"09/09/24 00:00:00","10/07/24 15:00:00","1.19.11.11","10.2.1.35",53
"09/07/24 23:00:00","10/07/24 19:00:00","12.130.60.4","10.2.1.33",754
"09/07/24 22:00:00","10/07/24 21:00:00","12.130.60.4","10.2.1.34",778
"09/07/24 22:00:00","10/07/24 20:00:00","12.130.60.4","10.2.1.35",764
"09/07/24 23:00:00","10/07/24 20:00:00","12.130.60.5","10.2.1.33",705
"09/07/24 21:00:00","10/07/24 21:00:00","12.130.60.5","10.2.1.34",683
"09/07/24 23:00:00","10/07/24 20:00:00","12.130.60.5","10.2.1.35",760
"09/07/24 22:00:00","10/07/24 21:00:00","125.17.14.100","10.2.1.33",771
"09/07/24 22:00:00","10/07/24 20:00:00","125.17.14.100","10.2.1.34",746
"09/07/24 21:00:00","10/07/24 20:00:00","125.17.14.100","10.2.1.35",794
"09/07/24 22:00:00","10/07/24 22:00:00","128.241.220.82","10.2.1.33",754
"09/08/24 00:00:00","10/07/24 20:00:00","128.241.220.82","10.2.1.34",679
"09/07/24 22:00:00","10/07/24 19:00:00","128.241.220.82","10.2.1.35",732
"09/07/24 23:00:00","10/07/24 20:00:00","130.253.37.97","10.2.1.33",684
"09/07/24 23:00:00","10/07/24 21:00:00","130.253.37.97","10.2.1.34",735
"09/07/24 22:00:00","10/07/24 20:00:00","130.253.37.97","10.2.1.35",733
"09/07/24 21:00:00","10/07/24 21:00:00","131.178.233.243","10.2.1.33",716
"09/07/24 22:00:00","10/07/24 21:00:00","131.178.233.243","10.2.1.34",713
"09/07/24 22:00:00","10/07/24 22:00:00","131.178.233.243","10.2.1.35",727
"09/07/24 21:00:00","10/07/24 21:00:00","141.146.8.66","10.2.1.33",710
"09/08/24 03:00:00","10/07/24 21:00:00","141.146.8.66","10.2.1.34",726
"09/07/24 23:00:00","10/07/24 21:00:00","141.146.8.66","10.2.1.35",701
"09/09/24 00:00:00","10/07/24 03:00:00","142.162.221.28","10.2.1.33",46
"09/08/24 05:00:00","10/07/24 17:00:00","142.162.221.28","10.2.1.34",57
"09/07/24 21:00:00","10/07/24 13:00:00","142.162.221.28","10.2.1.35",53
"09/08/24 08:00:00","10/07/24 16:00:00","142.233.200.21","10.2.1.33",53
"09/07/24 22:00:00","10/07/24 15:00:00","142.233.200.21","10.2.1.34",55
"09/08/24 03:00:00","10/07/24 06:00:00","142.233.200.21","10.2.1.35",59
"09/08/24 13:00:00","10/07/24 14:00:00","193.33.170.23","10.2.1.33",70
"09/08/24 05:00:00","10/07/24 06:00:00","193.33.170.23","10.2.1.34",63
"09/08/24 03:00:00","10/05/24 21:00:00","193.33.170.23","10.2.1.35",59
"09/09/24 21:00:00","10/07/24 14:00:00","194.146.236.22","10.2.1.33",65
"09/08/24 09:00:00","10/06/24 09:00:00","194.146.236.22","10.2.1.34",50
"09/08/24 02:00:00","10/07/24 08:00:00","194.146.236.22","10.2.1.35",59
"09/11/24 17:00:00","10/07/24 13:00:00","194.215.205.19","10.2.1.33",49
"09/08/24 02:00:00","10/07/24 15:00:00","194.215.205.19","10.2.1.34",61
"09/08/24 02:00:00","10/07/24 19:00:00","194.215.205.19","10.2.1.35",58
"09/07/24 23:00:00","10/07/24 09:00:00","194.8.74.23","10.2.1.33",57
"09/08/24 03:00:00","10/07/24 09:00:00","194.8.74.23","10.2.1.34",58
"09/08/24 01:00:00","10/07/24 08:00:00","194.8.74.23","10.2.1.35",56
"09/08/24 15:00:00","10/07/24 20:00:00","195.216.243.24","10.2.1.33",47
"09/07/24 23:00:00","10/07/24 01:00:00","195.216.243.24","10.2.1.34",54
"09/07/24 23:00:00","10/07/24 15:00:00","195.216.243.24","10.2.1.35",48
"09/08/24 08:00:00","10/06/24 10:00:00","195.69.160.22","10.2.1.33",67
"09/08/24 00:00:00","10/07/24 15:00:00","195.69.160.22","10.2.1.34",57
"09/08/24 14:00:00","10/07/24 16:00:00","195.69.160.22","10.2.1.35",51
"09/08/24 04:00:00","10/07/24 17:00:00","195.69.252.22","10.2.1.33",55
"09/08/24 10:00:00","10/07/24 08:00:00","195.69.252.22","10.2.1.34",66
"09/08/24 15:00:00","10/07/24 13:00:00","195.69.252.22","10.2.1.35",61
"09/08/24 00:00:00","10/07/24 17:00:00","195.80.144.22","10.2.1.33",59
"09/08/24 11:00:00","10/07/24 18:00:00","195.80.144.22","10.2.1.34",57
"09/08/24 06:00:00","10/07/24 01:00:00","195.80.144.22","10.2.1.35",53
"09/08/24 01:00:00","10/07/24 18:00:00","200.6.134.23","10.2.1.33",53
"09/08/24 08:00:00","10/07/24 12:00:00","200.6.134.23","10.2.1.34",65
"09/09/24 16:00:00","10/07/24 20:00:00","200.6.134.23","10.2.1.35",47
"09/08/24 04:00:00","10/07/24 20:00:00","201.122.42.235","10.2.1.33",60
"09/08/24 16:00:00","10/07/24 12:00:00","201.122.42.235","10.2.1.34",47
"09/08/24 01:00:00","10/07/24 07:00:00","201.122.42.235","10.2.1.35",50
"09/07/24 23:00:00","10/07/24 04:00:00","201.28.109.162","10.2.1.33",72
"09/08/24 16:00:00","10/07/24 14:00:00","201.28.109.162","10.2.1.34",57
"09/08/24 00:00:00","10/07/24 11:00:00","201.28.109.162","10.2.1.35",54
"09/09/24 01:00:00","10/07/24 12:00:00","201.3.120.132","10.2.1.33",70
"09/09/24 05:00:00","10/07/24 04:00:00","201.3.120.132","10.2.1.34",57
"09/08/24 11:00:00","10/07/24 03:00:00","201.3.120.132","10.2.1.35",46
"09/08/24 02:00:00","10/07/24 16:00:00","201.42.223.29","10.2.1.33",52
"09/08/24 00:00:00","10/07/24 13:00:00","201.42.223.29","10.2.1.34",64
"09/09/24 07:00:00","10/06/24 23:00:00","201.42.223.29","10.2.1.35",52
"09/08/24 11:00:00","10/07/24 15:00:00","202.164.25.24","10.2.1.33",55
"09/08/24 10:00:00","10/07/24 16:00:00","202.164.25.24","10.2.1.34",60
"09/08/24 02:00:00","10/07/24 14:00:00","202.164.25.24","10.2.1.35",62
"09/09/24 12:00:00","10/07/24 19:00:00","203.223.0.20","10.2.1.33",60
"09/08/24 05:00:00","10/07/24 15:00:00","203.223.0.20","10.2.1.34",57
"09/08/24 03:00:00","10/07/24 15:00:00","203.223.0.20","10.2.1.35",57
"09/07/24 23:00:00","10/07/24 13:00:00","203.92.58.136","10.2.1.33",60
"09/07/24 23:00:00","10/07/24 20:00:00","203.92.58.136","10.2.1.34",58
"09/08/24 05:00:00","10/07/24 14:00:00","203.92.58.136","10.2.1.35",58
"09/07/24 22:00:00","10/07/24 21:00:00","212.235.92.150","10.2.1.33",52
"09/07/24 23:00:00","10/07/24 01:00:00","212.235.92.150","10.2.1.34",59
"09/09/24 00:00:00","10/07/24 21:00:00","212.235.92.150","10.2.1.35",55
"09/09/24 14:00:00","10/07/24 04:00:00","212.27.63.151","10.2.1.33",46
"09/08/24 02:00:00","10/06/24 22:00:00","212.27.63.151","10.2.1.34",63
"09/08/24 14:00:00","10/07/24 20:00:00","212.27.63.151","10.2.1.35",56
"09/07/24 23:00:00","10/07/24 14:00:00","217.132.169.69","10.2.1.33",47
"09/07/24 23:00:00","10/07/24 06:00:00","217.132.169.69","10.2.1.34",60
"09/07/24 22:00:00","10/07/24 05:00:00","217.132.169.69","10.2.1.35",53
"09/08/24 01:00:00","10/07/24 01:00:00","217.197.192.20","10.2.1.33",48
"09/08/24 18:00:00","10/07/24 13:00:00","217.197.192.20","10.2.1.34",55
"09/08/24 00:00:00","10/07/24 20:00:00","217.197.192.20","10.2.1.35",70
"09/08/24 02:00:00","10/07/24 15:00:00","27.1.0.0","10.2.1.33",55
"09/08/24 02:00:00","10/07/24 17:00:00","27.1.0.0","10.2.1.34",61
"09/08/24 05:00:00","10/06/24 04:00:00","27.1.0.0","10.2.1.35",46
"09/08/24 02:00:00","10/07/24 14:00:00","27.1.11.11","10.2.1.33",65
"09/07/24 22:00:00","10/06/24 22:00:00","27.1.11.11","10.2.1.34",56
"09/08/24 18:00:00","10/07/24 19:00:00","27.1.11.11","10.2.1.35",58
"09/08/24 16:00:00","10/07/24 19:00:00","27.101.0.0","10.2.1.33",50
"09/09/24 12:00:00","10/07/24 20:00:00","27.101.0.0","10.2.1.34",52
"09/08/24 18:00:00","10/06/24 11:00:00","27.101.0.0","10.2.1.35",52
"09/08/24 19:00:00","10/07/24 18:00:00","27.101.11.11","10.2.1.33",59
"09/08/24 20:00:00","10/07/24 19:00:00","27.101.11.11","10.2.1.34",46
"09/08/24 00:00:00","10/07/24 20:00:00","27.101.11.11","10.2.1.35",60
"09/08/24 19:00:00","10/07/24 20:00:00","27.102.0.0","10.2.1.33",58
"09/08/24 22:00:00","10/07/24 01:00:00","27.102.0.0","10.2.1.34",64
"09/08/24 15:00:00","10/07/24 09:00:00","27.102.0.0","10.2.1.35",40
"09/09/24 02:00:00","10/06/24 13:00:00","27.102.11.11","10.2.1.33",60
"09/09/24 20:00:00","10/07/24 20:00:00","27.102.11.11","10.2.1.34",56
"09/08/24 16:00:00","10/07/24 18:00:00","27.102.11.11","10.2.1.35",63
"09/08/24 12:00:00","10/07/24 13:00:00","27.160.0.0","10.2.1.33",55
"09/08/24 01:00:00","10/07/24 12:00:00","27.160.0.0","10.2.1.34",46
"09/08/24 01:00:00","10/07/24 12:00:00","27.160.0.0","10.2.1.35",55
"09/08/24 17:00:00","10/07/24 12:00:00","27.175.11.11","10.2.1.33",49
"09/08/24 00:00:00","10/07/24 18:00:00","27.175.11.11","10.2.1.34",56
"09/09/24 01:00:00","10/06/24 23:00:00","27.175.11.11","10.2.1.35",64
"09/07/24 22:00:00","10/07/24 21:00:00","27.176.0.0","10.2.1.33",64
"09/08/24 08:00:00","10/07/24 08:00:00","27.176.0.0","10.2.1.34",47
"09/08/24 00:00:00","10/06/24 01:00:00","27.176.0.0","10.2.1.35",50
"09/07/24 22:00:00","10/07/24 20:00:00","27.35.0.0","10.2.1.33",60
"09/08/24 04:00:00","10/06/24 18:00:00","27.35.0.0","10.2.1.34",49
"09/08/24 03:00:00","10/06/24 22:00:00","27.35.0.0","10.2.1.35",66
"09/08/24 15:00:00","10/07/24 09:00:00","27.35.11.11","10.2.1.33",53
"09/08/24 03:00:00","10/07/24 04:00:00","27.35.11.11","10.2.1.34",57
"09/09/24 03:00:00","10/07/24 01:00:00","27.35.11.11","10.2.1.35",45
"09/08/24 11:00:00","10/07/24 20:00:00","27.96.128.0","10.2.1.33",60
"09/09/24 06:00:00","10/07/24 17:00:00","27.96.128.0","10.2.1.34",50
"09/09/24 09:00:00","10/07/24 09:00:00","27.96.128.0","10.2.1.35",49
"09/08/24 05:00:00","10/06/24 08:00:00","27.96.191.11","10.2.1.33",54
"09/08/24 01:00:00","10/07/24 13:00:00","27.96.191.11","10.2.1.34",62
"09/09/24 03:00:00","10/07/24 11:00:00","27.96.191.11","10.2.1.35",39
"09/08/24 01:00:00","10/06/24 10:00:00","59.162.167.100","10.2.1.33",51
"09/08/24 02:00:00","10/07/24 01:00:00","59.162.167.100","10.2.1.34",56
"09/08/24 11:00:00","10/07/24 18:00:00","59.162.167.100","10.2.1.35",45
"09/08/24 22:00:00","10/07/24 14:00:00","62.216.64.19","10.2.1.33",60
"09/08/24 22:00:00","10/07/24 19:00:00","62.216.64.19","10.2.1.34",64
"09/08/24 13:00:00","10/07/24 15:00:00","62.216.64.19","10.2.1.35",48
"09/08/24 01:00:00","10/06/24 07:00:00","64.66.0.20","10.2.1.33",50
"09/08/24 10:00:00","10/07/24 20:00:00","64.66.0.20","10.2.1.34",58
"09/09/24 09:00:00","10/07/24 10:00:00","64.66.0.20","10.2.1.35",56
"09/08/24 14:00:00","10/07/24 19:00:00","69.80.0.18","10.2.1.33",61
"09/08/24 22:00:00","10/06/24 17:00:00","69.80.0.18","10.2.1.34",63
"09/08/24 19:00:00","10/07/24 20:00:00","69.80.0.18","10.2.1.35",46
"09/07/24 22:00:00","10/07/24 14:00:00","74.125.19.106","10.2.1.33",43
"09/07/24 22:00:00","10/06/24 23:00:00","74.125.19.106","10.2.1.34",62
"09/08/24 09:00:00","10/07/24 15:00:00","74.125.19.106","10.2.1.35",52
"09/08/24 12:00:00","10/07/24 14:00:00","81.11.191.113","10.2.1.33",49
"09/08/24 13:00:00","10/06/24 07:00:00","81.11.191.113","10.2.1.34",58
"09/08/24 00:00:00","10/07/24 08:00:00","81.11.191.113","10.2.1.35",51
"09/08/24 16:00:00","10/06/24 18:00:00","82.245.228.36","10.2.1.33",50
"09/08/24 05:00:00","10/07/24 19:00:00","82.245.228.36","10.2.1.34",53
"09/08/24 07:00:00","10/07/24 18:00:00","82.245.228.36","10.2.1.35",52
"09/07/24 23:00:00","10/07/24 04:00:00","84.34.159.23","10.2.1.33",41
"09/08/24 07:00:00","10/06/24 18:00:00","84.34.159.23","10.2.1.34",57
"09/09/24 14:00:00","10/07/24 21:00:00","84.34.159.23","10.2.1.35",62
"09/08/24 14:00:00","10/07/24 19:00:00","86.212.199.60","10.2.1.33",56
"09/08/24 13:00:00","10/07/24 04:00:00","86.212.199.60","10.2.1.34",61
"09/08/24 05:00:00","10/06/24 14:00:00","86.212.199.60","10.2.1.35",52
"09/07/24 23:00:00","10/07/24 11:00:00","86.9.190.90","10.2.1.33",71
"09/07/24 23:00:00","10/07/24 17:00:00","86.9.190.90","10.2.1.34",33
"09/09/24 18:00:00","10/07/24 11:00:00","86.9.190.90","10.2.1.35",67
"09/07/24 23:00:00","10/07/24 10:00:00","87.194.216.51","10.2.1.33",59
"09/08/24 02:00:00","10/06/24 23:00:00","87.194.216.51","10.2.1.34",65
"09/08/24 00:00:00","10/07/24 04:00:00","87.194.216.51","10.2.1.35",54
"09/10/24 14:00:00","10/07/24 16:00:00","87.240.128.18","10.2.1.33",47
"09/08/24 02:00:00","10/07/24 19:00:00","87.240.128.18","10.2.1.34",58
"09/08/24 01:00:00","10/07/24 21:00:00","87.240.128.18","10.2.1.35",58
"09/10/24 10:00:00","10/07/24 17:00:00","89.11.192.18","10.2.1.33",49
"09/07/24 23:00:00","10/07/24 15:00:00","89.11.192.18","10.2.1.34",48
"09/08/24 08:00:00","10/06/24 19:00:00","89.11.192.18","10.2.1.35",55
"09/08/24 05:00:00","10/05/24 11:00:00","89.167.143.32","10.2.1.33",56
"09/09/24 06:00:00","10/07/24 15:00:00","89.167.143.32","10.2.1.34",36
"09/08/24 21:00:00","10/07/24 16:00:00","89.167.143.32","10.2.1.35",62
"09/07/24 22:00:00","10/06/24 01:00:00","90.205.111.169","10.2.1.33",57
"09/09/24 22:00:00","10/07/24 05:00:00","90.205.111.169","10.2.1.34",51
"09/09/24 09:00:00","10/07/24 08:00:00","90.205.111.169","10.2.1.35",48
"09/08/24 05:00:00","10/07/24 21:00:00","91.199.80.24","10.2.1.33",57
"09/09/24 17:00:00","10/07/24 20:00:00","91.199.80.24","10.2.1.34",51
"09/07/24 21:00:00","10/07/24 05:00:00","91.199.80.24","10.2.1.35",58
"09/08/24 01:00:00","10/07/24 16:00:00","91.205.40.22","10.2.1.33",67
"09/08/24 07:00:00","10/06/24 20:00:00","91.205.40.22","10.2.1.34",65
"09/08/24 16:00:00","10/07/24 06:00:00","91.205.40.22","10.2.1.35",66
"09/08/24 04:00:00","10/07/24 03:00:00","91.208.184.24","10.2.1.33",54
"09/08/24 21:00:00","10/07/24 09:00:00","91.208.184.24","10.2.1.34",40
"09/07/24 23:00:00","10/07/24 21:00:00","91.208.184.24","10.2.1.35",54
"09/08/24 01:00:00","10/07/24 04:00:00","91.214.92.22","10.2.1.33",69
"09/07/24 23:00:00","10/07/24 19:00:00","91.214.92.22","10.2.1.34",61
"09/08/24 20:00:00","10/07/24 08:00:00","91.214.92.22","10.2.1.35",61
"09/07/24 21:00:00","10/07/24 19:00:00","92.1.170.135","10.2.1.33",59
"09/08/24 20:00:00","10/07/24 20:00:00","92.1.170.135","10.2.1.34",52
"09/08/24 05:00:00","10/07/24 15:00:00","92.1.170.135","10.2.1.35",57
"09/08/24 02:00:00","10/07/24 21:00:00","94.229.0.20","10.2.1.33",57
"09/07/24 22:00:00","10/07/24 10:00:00","94.229.0.20","10.2.1.34",57
"09/08/24 04:00:00","10/07/24 03:00:00","94.229.0.20","10.2.1.35",42
"09/10/24 00:00:00","10/07/24 20:00:00","94.229.0.21","10.2.1.33",53
"09/08/24 21:00:00","10/07/24 16:00:00","94.229.0.21","10.2.1.34",57
"09/08/24 06:00:00","10/06/24 19:00:00","94.229.0.21","10.2.1.35",60
